purple_corner|icon|1|408|68,-108,4,-40,68,52,129|136,48,24,-88,75,72,68|204,132,76,84,57,44,108|272,-28,28,84,68,52,129|340,140,28,60,69,67,64
orange_diamond|icon|1|456|76,-96,0,-92,146,74,59|152,60,64,48,160,81,65|228,-92,0,52,146,74,59|304,-96,36,28,91,46,37|380,-108,28,-124,146,74,59
GROUP_GATESTONE|icon|1|585|97,36,32,52,39,58,76|194,-4,36,60,49,73,95|291,-80,0,-16,39,58,76|388,-56,72,-44,77,100,122|485,56,36,-72,61,91,119
PGT_GREEN|icon|1|585|97,36,32,52,45,71,63|194,-4,36,60,57,89,79|291,-80,0,-16,45,71,63|388,-56,72,-44,87,113,105|485,56,36,-72,71,111,99
purple_diamond|icon|1|456|76,-96,0,-92,68,52,129|152,60,64,48,75,58,143|228,-92,0,52,68,52,129|304,-96,36,28,42,33,81|380,-108,28,-124,68,52,129
silver_triangle|icon|1|312|52,68,36,40,64,62,59|104,56,8,-16,89,86,81|156,56,44,40,89,86,81|208,56,8,-16,128,124,117|260,-88,8,32,128,124,117
gold_triangle|icon|1|312|52,68,36,40,66,52,27|104,56,8,-16,101,80,41|156,56,44,40,101,80,41|208,56,8,-16,138,109,56|260,-88,8,32,138,109,56
blue_diamond|icon|1|456|76,-96,0,-92,38,86,127|152,60,64,48,43,97,142|228,-92,0,52,38,86,127|304,-96,36,28,23,53,78|380,-108,28,-124,38,86,127
PGT_RED|icon|1|585|97,36,32,52,37,13,11|194,-4,36,60,65,23,20|291,-80,0,-16,37,13,11|388,-56,72,-44,104,46,42|485,56,36,-72,96,33,29
green_crescent|icon|1|960|160,72,24,-136,52,129,86|320,-84,4,-48,52,129,86|480,-128,0,96,52,129,86|640,-136,8,20,52,129,86|800,32,44,32,52,129,86
green_rectangle|icon|1|456|76,88,24,56,58,143,95|152,64,24,-148,58,143,95|228,-80,20,-152,58,143,95|304,-80,0,-144,52,129,86|380,76,4,-148,52,129,86
green_diamond|icon|1|456|76,-96,0,-92,52,129,86|152,60,64,48,58,143,95|228,-92,0,52,52,129,86|304,-96,36,28,27,66,44|380,-108,28,-124,52,129,86
purple_rectangle|icon|1|456|76,88,24,56,75,58,143|152,64,24,-148,75,58,143|228,-80,20,-152,75,58,143|304,-80,0,-144,68,52,129|380,76,4,-148,68,52,129
green_corner|icon|1|408|68,-108,4,-40,52,129,86|136,48,24,-88,75,72,68|204,132,76,84,40,98,65|272,-28,28,84,52,129,86|340,140,28,60,69,67,64
blue_rectangle|icon|1|456|76,88,24,56,43,97,142|152,64,24,-148,43,97,142|228,-80,20,-152,43,97,142|304,-80,0,-144,38,86,127|380,76,4,-148,38,86,127
green_wedge|icon|1|504|84,-124,28,-56,52,129,86|168,44,24,-88,52,129,86|252,44,0,-116,58,143,95|336,-120,24,44,27,66,44|420,32,24,-48,27,66,44
purple_wedge|icon|1|504|84,-124,28,-56,68,52,129|168,44,24,-88,68,52,129|252,44,0,-116,75,58,143|336,-120,24,44,42,33,81|420,32,24,-48,42,33,81
orange_rectangle|icon|1|456|76,88,24,56,160,81,65|152,64,24,-148,160,81,65|228,-80,20,-152,160,81,65|304,-80,0,-144,146,74,59|380,76,4,-148,146,74,59
yellow_crescent|icon|1|960|160,72,24,-136,200,186,40|320,-84,4,-48,200,186,40|480,-128,0,96,200,186,40|640,-136,8,20,200,186,40|800,32,44,32,200,186,40
crimson_corner|icon|1|408|68,-108,4,-40,136,41,47|136,48,24,-88,75,72,68|204,132,76,84,114,34,39|272,-28,28,84,136,41,47|340,140,28,60,69,67,64
yellow_triangle|icon|1|312|52,68,36,40,146,136,29|104,56,8,-16,174,162,35|156,56,44,40,174,162,35|208,56,8,-16,200,186,40|260,-88,8,32,200,186,40
yellow_corner|icon|1|408|68,-108,4,-40,200,186,40|136,48,24,-88,75,72,68|204,132,76,84,186,173,37|272,-28,28,84,200,186,40|340,140,28,60,69,67,64
purple_shield|icon|1|984|164,88,60,-96,42,33,81|328,-60,68,120,30,23,58|492,-56,12,80,42,33,81|656,100,76,-72,68,52,129|820,104,8,76,68,52,129
gold_corner|icon|1|408|68,-108,4,-40,138,109,56|136,48,24,-88,117,93,48|204,132,76,84,129,102,52|272,-28,28,84,138,109,56|340,140,28,60,69,67,64
gold_crescent|icon|1|960|160,72,24,-136,138,109,56|320,-84,4,-48,138,109,56|480,-128,0,96,138,109,56|640,-136,8,20,138,109,56|800,32,44,32,138,109,56
green_triangle|icon|1|312|52,68,36,40,12,30,20|104,56,8,-16,27,66,44|156,56,44,40,27,66,44|208,56,8,-16,52,129,86|260,-88,8,32,52,129,86
orange_triangle|icon|1|312|52,68,36,40,66,33,27|104,56,8,-16,91,46,37|156,56,44,40,91,46,37|208,56,8,-16,146,74,59|260,-88,8,32,146,74,59
silver_corner|icon|1|408|68,-108,4,-40,128,124,117|136,48,24,-88,75,72,68|204,132,76,84,111,108,102|272,-28,28,84,128,124,117|340,140,28,60,69,67,64
crimson_wedge|icon|1|504|84,-124,28,-56,136,41,47|168,44,24,-88,136,41,47|252,44,0,-116,145,44,50|336,-120,24,44,102,9,17|420,32,24,-48,102,9,17
silver_pentagon|icon|1|528|88,-96,4,-56,89,86,81|176,60,32,36,138,133,126|264,76,52,64,128,124,117|352,48,0,-24,128,124,117|440,-108,32,-16,128,124,117
orange_crescent|icon|1|960|160,72,24,-136,146,74,59|320,-84,4,-48,146,74,59|480,-128,0,96,146,74,59|640,-136,8,20,146,74,59|800,32,44,32,146,74,59
green_shield|icon|1|984|164,88,60,-96,27,66,44|328,-60,68,120,12,30,20|492,-56,12,80,27,66,44|656,100,76,-72,52,129,86|820,104,8,76,52,129,86
blue_pentagon|icon|1|528|88,-96,4,-56,23,53,78|176,60,32,36,43,97,142|264,76,52,64,38,86,127|352,48,0,-24,38,86,127|440,-108,32,-16,38,86,127
blue_shield|icon|1|984|164,88,60,-96,23,53,78|328,-60,68,120,16,35,52|492,-56,12,80,23,53,78|656,100,76,-72,38,86,127|820,104,8,76,38,86,127
purple_triangle|icon|1|312|52,68,36,40,30,23,58|104,56,8,-16,42,33,81|156,56,44,40,42,33,81|208,56,8,-16,68,52,129|260,-88,8,32,68,52,129
green_pentagon|icon|1|528|88,-96,4,-56,27,66,44|176,60,32,36,58,143,95|264,76,52,64,52,129,86|352,48,0,-24,52,129,86|440,-108,32,-16,52,129,86
crimson_triangle|icon|1|312|52,68,36,40,107,32,37|104,56,8,-16,102,9,17|156,56,44,40,102,9,17|208,56,8,-16,136,41,47|260,-88,8,32,136,41,47
blue_triangle|icon|1|312|52,68,36,40,16,35,52|104,56,8,-16,23,53,78|156,56,44,40,23,53,78|208,56,8,-16,38,86,127|260,-88,8,32,38,86,127
orange_corner|icon|1|408|68,-108,4,-40,146,74,59|136,48,24,-88,75,72,68|204,132,76,84,117,59,48|272,-28,28,84,146,74,59|340,140,28,60,69,67,64
blue_corner|icon|1|408|68,-108,4,-40,38,86,127|136,48,24,-88,75,72,68|204,132,76,84,31,70,103|272,-28,28,84,38,86,127|340,140,28,60,69,67,64
silver_diamond|icon|1|456|76,-96,0,-92,128,124,117|152,60,64,48,138,133,126|228,-92,0,52,128,124,117|304,-96,36,28,89,86,81|380,-108,28,-124,128,124,117
crimson_diamond|icon|1|456|76,-96,0,-92,136,41,47|152,60,64,48,145,44,50|228,-92,0,52,136,41,47|304,-96,36,28,102,9,17|380,-108,28,-124,136,41,47
gold_diamond|icon|1|456|76,-96,0,-92,138,109,56|152,60,64,48,178,141,72|228,-92,0,52,138,109,56|304,-96,36,28,101,80,41|380,-108,28,-124,138,109,56
yellow_diamond|icon|1|456|76,-96,0,-92,200,186,40|152,60,64,48,214,199,43|228,-92,0,52,200,186,40|304,-96,36,28,174,162,35|380,-108,28,-124,200,186,40
